Jahr,1_Merkmal_Code,1_Auspraegung_Label,2_Auspraegung_Label,3_Merkmal_Code,3_Merkmal_Label,3_Auspraegung_Code,3_Auspraegung_Label,birth
1999,DLAND,Rheinland-Pfalz,Mai,GES,Geschlecht,,Insgesamt,3218
1999,DLAND,Rheinland-Pfalz,Juni,GES,Geschlecht,,Insgesamt,3262
1999,DLAND,Rheinland-Pfalz,Juli,GES,Geschlecht,,Insgesamt,3402
1999,DLAND,Rheinland-Pfalz,August,GES,Geschlecht,,Insgesamt,3576
1999,DLAND,Rheinland-Pfalz,September,GES,Geschlecht,,Insgesamt,3476
1999,DLAND,Rheinland-Pfalz,Oktober,GES,Geschlecht,,Insgesamt,3055
1999,DLAND,Rheinland-Pfalz,November,GES,Geschlecht,,Insgesamt,2901
1999,DLAND,Rheinland-Pfalz,Dezember,GES,Geschlecht,,Insgesamt,3061
1999,DLAND,Saarland,Januar,GES,Geschlecht,,Insgesamt,807
1999,DLAND,Saarland,Februar,GES,Geschlecht,,Insgesamt,701
1999,DLAND,Saarland,Maerz,GES,Geschlecht,,Insgesamt,689
